index,timestamp,mode,target_id,success,latency_ms,decision_reason,circuit_state,error_message
4,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
5,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
0,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
6,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
7,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
8,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
2,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
15,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
16,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
12,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
14,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
11,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
21,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
10,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
19,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
23,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
22,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
1,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
13,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
27,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
3,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
25,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
18,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
32,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
30,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
24,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
